restaurant,location,price_range,specialty,rating,review
The Cafe,"Entertainment City, Paranaque, Manila Belle Avenue Hyatt Regency Manila, City of Dreams, Paranaque, Luzon 1701 Philippines","₱1,969 - ₱2,708","Chinese, Japanese, International, Asian, Filipino",5.0,"The place is not exactly cheap,  but we had our team dinner here and all of us were really glad. It felt exclusive.  The staff were great and the food! It is one of the best food I have had.  Will definitely come back here...for more team dinners.More"
Vikings,"San Miguel Seaside Boulevard, Pasay, Luzon Philippines","₱985 - ₱1,280","Italian, Chinese, Japanese, American, Filipino, Seafood, Sushi, Asian",4.0,"Went on my birthday on 10/27/20 at around 1:15pm. NOT A GOOD TIME TO GO SINCE THEY DO CLOSE AT 2:30PM FOR THEIR DINNER HOUR PREPS. All the LEFTOVER food was OLD FAST!! Didn't bother to cook anymore than what was already out there in...their catering containers. Since we're still in a pandemic, they will serve you the portions of the food that are in these containers. WORST BUFFET AND WORST BIRTHDAY EXPERIENCE EVER!!! 1 rating for the FOOD, plus 1 additional for the interior deco and view of Manila Bay as you meander thru their measly food line.More"
Inagiku,"Ayala Avenue corner Makati Avenue, Makati, Luzon 1219 Philippines","₱1,969 - ₱2,954","Japanese, Sushi, Asian",4.0,"I didn’t like the way they treated us. It was my birthday and they knew about it and they didn’t even do anything just so their customer would be pleased. Nada. For an expensive restaurant like this somehow you go beyond so customers are satisfied....Disappointed that there was no extra effort. 

I love the food to be fair and the beef that we ordered is so bloody expensive but worth it. See, I paid so much but was not satisfied with your service. Unlike at Samba, we were treated like royalty but here in Inagiku the crew were just snooty. 

Overall, I don’t like the vibe at Makati Shangrila. I will not go back there. I frequent Edsa Shangrila and Shangrila at the Fort. They’re way better.More"
Kusina Sea Kitchens,"1 Newport Boulevard Third Floor, Hilton Manila, Pasay, Luzon 1300 Philippines","₱1,850 - ₱2,200","Filipino, Healthy",5.0,We had a satisfying dining experience. Food is great! I think this is the only buffet I know that serves Filipino candies.😁 And people are accommodating esp Albert.
S Kitchen,"80 Andrews Avenue Sheraton Manila Hotel, Pasay, Luzon 1309 Philippines","₱500 - ₱2,650","Filipino, International, Asian",5.0,Excellent food. Fast service. Tapa is highly recommended 😍😍😍. Jam was very pleasant and helpful 🤩
Savoy Cafe,"101 Andrews Avenue Savoy Hotel Manila, Newport City, Pasay, Luzon 1300 Philippines",₱20 - ₱30,"Filipino, Cafe, Asian, European",5.0,"Dear Bernaldb2021, 

We're happy you had a fantastic time with us! Thanks for your trust, we're thankful for amazing customers like you.  Ms. Jill will definitely be delighted to read your feedback. 

We hope to see you again soon!"
Madayaw Cafe,"Stella Hizon Reyes Drive dusitD2 Davao, Davao City, Mindanao 8000 Philippines",₱5 - ₱50,"Asian, Filipino, Cafe, International",5.0,"so far it's our first time at Madayaw Cafe, the crew is very accommodating and best food and good presentation. Thank you Jade Tabanyag.More"
Benjarong Bar and Restaurant Davao,"Dusit Thani Residence Davao, Stella Hizon Reyes Drive, Bo Pampanga, Davao City, Mindanao 8000 Philippines",₱350 - ₱850,"Asian, Thai",5.0,"The food is great, food servers are amazing, doing the extra mile, special mention to Roy, Monchie , Shobe, and to all the kitchen staff. Kudos!More"
De Bonte Koe European Bar and Restaurant,"29 J. Rizal Street Habana Compound, Davao City, Mindanao 8000 Philippines","₱394 - ₱2,462","European, Asian",4.5,We went there on a Friday under a reservation. It's cozy since it's in the back portion of a compound. The owner would visit his guest/s in every table and engaged them in small talks. The staff were accommodating too. Starters are served since it...takes a while for the main courses to be served. Food there taste great most esp the seafood pasta and the apple strudel. Prices are highly affordable as well.More
The Vegan Dinosaur,"Marfori Heights Ruby Street Door A, Values School Building, Davao City, Mindanao 8000 Philippines",₱148 - ₱394,Cafe,4.5,"It is located at Marfori Heights Davao City, near Lachi's. Our 1st time experience being here was last Sept 5 2019 with my husband. They serve different menu using veggies thats why its called vegan. And if you're fan of eating vegetables this is the...right restaurant for you. But, expect that it's expensive. And the place is not huge nor wide. 🤔☺️More"
"Tong Yang Plus, SM Davao Ecoland","Quimpo Boulevard Corner Tulip Drive Ecoland Subdivision Matina SM City Davao, Davao City, Mindanao 8000 Philippines",₱488 - ₱588,"Chinese, International, Asian, Korean, Japanese",4.5,"They do have a good variety of food. Reasonable price with good service. It was my first time trying tong yang, luckily we arrived a little bit early that why we were able to secure a seat . I highly recommend to arrive  earlier from...the usual meal time voz there will be a lot of people queuing .More"
Pepperplate Restaurant,"J Palma Gil St Babista Bldg Opposite Ucpb Gen and Royal Mandaya Hotel, Davao City, Mindanao 8000 Philippines",₱150 - ₱350,"Filipino, Barbecue, American, Asian, Fusion",4.0,"Based on Trip Advisor's rating, my fiancee and I went to Pepperplate Restaurant last week for dinner.  We shared on in freight as we watched waiter/employers track down and kill three large cockroaches running wild in the dining area.  Not good.  Not good at all."
Rustic Kitchen Restaurant,"F. Torres Street Door 5 Autoville Compound, Davao City, Mindanao 8000 Philippines",₱148 - ₱246,"Filipino, American",4.0,Interiors were nicely done...nice place to chill and hangout!!! Well thought layout and nice mix of restaurant decors.
