Age,ConvStoresVisited,Frequency,Reasons,ConvStore_nearto,HomeProv_add,HomeCity_add,WorkProv_add,WorkCity_add,ConvStore_TD,Environment,Nr_CityCenter
25,"7-Eleven, Ministop, Lawson",Fair (Twice a week to more than twice a month.),"Purchase of Non-food/drink items, Purchase of food and drinks (consumed elsewhere), Meeting place (as a landmark)","Place of Work, Current Address",Bulacan,Pulilan,Metro Manila,Mandaluyong,Less than 5 mins,Rural,Yes
25,"7-Eleven, Family Mart, Ministop, Alfamart, Circle K, Lawson",Often (Every day to more than twice a week),"Purchase of Non-food/drink items, Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store), Bills Payment, Other Online Payments","Place of Work, Current Address",Metro Manila,Mandaluyong,Metro Manila,Pasig,Less than 5 mins,Urban,Yes
25,"7-Eleven, Family Mart, Ministop, Lawson",Seldom (Twice a month  or less),"Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store)","Place of Work, Current Address",Bataan,Hermosa,Metro Manila,Quezon,Less than 5 mins,Rural,No
27,"7-Eleven, Family Mart, Ministop, Alfamart, Lawson",Fair (Twice a week to more than twice a month.),"Purchase of Non-food/drink items, Purchase of food and drinks (consumed elsewhere), Meeting place (as a landmark)","Place of Work, Current Address",Metro Manila,Malabon,Metro Manila,Mandaluyong,Less than 5 mins,Urban,Yes
26,"7-Eleven, Ministop",Rarely (On occasion only and less than twice a month),"Get food or drinks (Consumed at the store), Other Online Payments",Current Address,Metro Manila,Quezon,Metro Manila,Taguig,5 to 10 mins,Urban,Yes
24,"7-Eleven, Family Mart, Lawson",Often (Every day to more than twice a week),"Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store)","Place of Work, Current Address",Metro Manila,Pasay,Metro Manila,Mandaluyong,Less than 5 mins,Urban,Yes
24,"7-Eleven, Family Mart, Lawson",Rarely (On occasion only and less than twice a month),"Purchase of food and drinks (consumed elsewhere), Meeting place (as a landmark)",Current Address,Metro Manila,Quezon,Metro Manila,Unemployed,10 to 15 mins,Urban,Yes
39,"7-Eleven, Family Mart, Lawson",Rarely (On occasion only and less than twice a month),"Purchase of Non-food/drink items, Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store)",Place of Work,Metro Manila,Muntinlupa,Metro Manila,Muntinlupa,Less than 5 mins,Urban,Yes
38,"7-Eleven, Family Mart, Ministop",Seldom (Twice a month  or less),Purchase of food and drinks (consumed elsewhere),Current Address,Metro Manila,Pasig,Metro Manila,Quezon,15 to 25 mins,Rural,Yes
25,"7-Eleven, Family Mart, Ministop, Circle K, Lawson",Often (Every day to more than twice a week),"Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store), Bills Payment, Other Online Payments",Place of Work,Bulacan,Guiguinto,Metro Manila,Pasig,Less than 5 mins,Rural,No
19,"7-Eleven, Family Mart",Rarely (On occasion only and less than twice a month),"Purchase of food and drinks (consumed elsewhere), Get food or drinks (Consumed at the store)",Current Address,Metro Manila,Quezon,Unemployed,Unemployed,Less than 5 mins,Urban,Yes
