Name,City,Barangay,Province,Classification,VisitorsPeryear,Entrance Fee,OtherData,CustomerReview
Cloud 9,General Luna,N/A,Siargao,Surfing,N/A,None,"Siargao’s rise as a top tourist spot in the Philippines is nothing short of meteoric. Once a sleepy island in Surigao del Norte, it has become one of the favorite destinations and playgrounds for travelers, and it is primarily because of one activity: surfing.","Price of admission is very low, but it's time to overhaul the entire construction. It's a good place to watch the surfers, and a good entry point if you are going surfing or snorkeling."
Puerto Princesa Underground River,Puerto Princesa,N/A,Palawan,River,1200000,500,"The gateway to the Philippines’ Last Frontier, Palawan, is its capital Puerto Princesa. It is here that you can find the world’s longest navigable underground river and a UNESCO World Heritage Site, the Puerto Princesa Underground River or the Puerto Princesa Subterranean River National Park.","The overall experience was amazing! The underground river tour was one of the most interesting tour we had during our stay in Puerto Princesa, Palawan. We were picked up at our accomodation place at exact time as written on the voucher. The tour guide was great as well as the driver, they are accomodating in all our needs."
Chocolate Hills,Batuan,N/A,Bohol,Hills,2000000,50,"Included in the UNESCO World Heritage Natural Monuments list, the Chocolate Hills of Bohol are a geomorphic wonder and truly a sight to behold. It is one of the best places in the Philippines to offer a unique landscape, with its 1,268 cone-shaped hills that turn chocolatey brown during the dry season, hence its name.","We have already seen the chocolate hills while we were on the way to, I guess, the highest peak among all of them. You are gonna climb all the way to the top of it so you could see a 360 degrees of the Chocolate Hills. It was exhausting to climb all the way to the top and my 65 year old mom wasn't even able to make it to the top. There were benches on the side of the steps tho if you can't go all the way to the top and there you could still appreciate the beauty of the Chocolate Hills."
White Beach,Aklan,N/A,Boracay,Beach Resort,2000000,N/A,"Long hailed as one of the best beaches in the entire world, Boracay’s claim to fame is its 4-kilometer stretch of pure white, powdery sand called White Beach.","White beach is the most popular beach in Boracay, it is no doubt a great and nice beach. Full of life and fun especially in Station 2 and yet very relaxing in Station 1. But in my opinion, if you're looking for a more serene beach experience, explore Ilig-Iligan beach but nevertheless, White Beach is still a great beach"
Hanging Coffins,Sagada,Echo Valley,Mountain Province,N/A,N/A,300,"It is a trek to get to the hanging coffins in Sagada, located deep in the northern Cordillera Mountains, but the sight is something most people in the world will never see. The hanging coffins, some centuries old, are suspended from the cliffs of the Echo Valley. These ceremonial burials were reserved for the wealthy tribesmen.",I've been to this place and going there you'll a a cemetery going down the hill and up. I was already very exhausted since we just came from bumod ok falls. but when you reach the place wow! i can't believe Ive been in this place since i just saw it from magazines and movies. place looks scary because its only us who went there and its already late in the afternoon around 5:00pm.
Corregidor Island,Corregidor Island,N/A,Cavite,Island,N/A,200,"A tour of Corregidor Island is a must-see for history buffs visiting the Philippines. The island played a significant role in World War II and was the location of several battles. The relics left behind from these battles include secret tunnels and bunkers used as hideouts during the war, as well as weapons, barracks, and historical artifacts.","The scenery was just beyond words the first time I saw everything from the ferry. Make your way up to the cliffs where they had the artillery pieces, and you'll see exactly what I mean. Plus, the whole island's set on some pretty interesting Philippine history. I seriously did not regret a single second of it."
Pagsanjan Falls,Laguna,N/A,Calabarzon,Falls,N/A,270,The only thing more exciting than admiring one of the most notable waterfalls in the Philippines is traversing it in a dugout canoe. The Pagsanjan Falls waterfall is part of the Pagsanjan Gorge National Park.,"We had such a good morning. Stayed at Casa Del Rio and they sorted the boat for us. 1250pp seems expensive but is definitely worth it. The scenery is stunning and we saw plenty of wildlife too, monkeys, kingfishers, and a woodpecker. Easy to do on your own. We got the HM liner bus from Cubao for 166php each. Jeepney from Santa Cruz to Pagsanjan. Cheaper than some of the tours advertised, even with a night in Casa Del Rio."
Coral Garden,Coron,N/A,Palawan,Garden,156000,200,"If you are unsure where to snorkel to see some of the best coral, taking an organized trip to the Coral Garden is an easy introduction to the sport. Guides are able to point out sea turtles and fish and offer information about what kinds of coral you are viewing underwater.","Very pretty, and good for timid swimmers as there are breaks between the coral groups w/water less than 6 feet deep. Nemo says hi!"
Jungle Training,Subic,Freeport,Bataan,Jungle,N/A,N/A,"You can take a tour of the former Subic Bay Naval Base and tour the converted complex, which has a number of activities on-site. Subic Bay is located on the island of Luzon, so it is an easy day trip from Manila, or you can stay in the region.","I tried to contact this company several times by email and on their site. Communication proved very difficult, to the point I that I could not risk extending travel to the area on the off chance they were operating."
Hanging Bridge,Tagbilaran,N/A,Bohol,Bridge,N/A,80,"Over the years, the bridge, which was was originally made with woven bamboo, has received some safety reinforcements due to its popularity with tourists. Not to worry though, it still creeks and swings and gives you butterflies in your stomach as you look down at the rushing river below you.","We absolutely loved this site, it was a great source of amusement watching people get their flip flops stuck, and gripping hold of the sides as it wobbled we actually went twice as some other guests at our resort wanted to see it when we told them about it. The story behind the bridge was also very interesting."
Kayangan Lake,Coron,N/A,Palawan,Lake,N/A,300,"Mention the best tourist destinations in the Philippines and Kayangan Lake in Coron, Palawan is surely in the list. It is dubbed as the “cleanest lake in the Philippines” and some consider it as the cleanest lake in Asia. The water here is clean so it’s perfect for swimming and diving. ",The lake has crystal clear waters where you can see all the way to the bottom. It has a standing platform around the side where you can walk.
Danjugan Island,Cauayan,N/A,Negros Occidental,Beach Resort,N/A,2950,"Danjugan Island is a rainforest-covered island and rich marine sanctuary that can be reached after a 4-hour drive from Bacolod and a 30-minute boat ride from mainland Cauayan. The island has five lagoons, two of which you can explore by kayak. Since it’s a protected area, fishing is not allowed here, allowing marine life to explode in full color. The best part is, you don’t need to be a scuba diver to enjoy it, you can simply do so by snorkeling.","Danjugan Island is for me one of the best place I went in the Philippines. This Island is simply beautiful, It's quiet and you are inside the environment, that's what I like. If you are looking for a place to discover the nature of the Philippines and his beauty, it is the place to go"
Sundang Island,Cavinti,N/A,Laguna,Lake,N/A,3400,"Have you ever fantasized about having your own private island? Well, you can with Sundang Island in Cavinti, Laguna.","Beautiful home. For me, not a place you wanna trash or party like there's no tomorrow, but a kind place, that warms the heart."
Bayugin Falls,Bulusan,N/A,Sorsogon,Falls,N/A,15,"Visitors in Bulusan flock to the Bulusan Volcano National Park, but not many make it to Bayugin Falls. It's a small waterfall, but the water is very cold and refreshing, especially on a hot and humid day.To get there, drive or take a tricycle up to Bgy. San Francisco. Admission fee is only 15 pesos per guest, vehicle parking costs 20 pesos, and cottages can be rented for 150 pesos.",The waterfall is hard to reach. We had to park at a community center and then walk to the falls. We followed a trail that went way way down to the falls. There are bamboo handrails in some parts but not all the way. One has to be very careful because the path is slippery due to the moss on the ground. Bring some snacks because there are no shops/stores in the area. Reward yourself with a dip in the refreshing and cool waters after walking that far!
Bonbon Beach,Romblon,N/A,Romblon,Beach Resort,N/A,None,"Bonbon Beach in Romblon has fine, white sand, clear waters and a beautiful view. I first learned about Bonbon from another travel blog and decided to visit when I was in the province. Luckily, there weren’t too many people around! Make sure to wait until sunset so you get to see the sky turn into variants of red and orange before getting dark. The beach is easily accessible by public transport from the town. Simply board a tricycle, and tell the driver you'd like to go to Bonbon Beach. There are now flights from Manila to Tablas Island, Romblon, your next gateway to the beach.","Beach by itself is very nice, but old woman, Grace, owner of the guesthouse claimed the beach, trained many aggressive dogs to keep tourists off. She usually let them go to the beach sometimes, so I was bitten by this dogs and had to do antirabies injections. Hope one day this beach will be taken of the dogs and returned to the people of Romblon. Just imagine how it is dangerous for kids, but unfortunately she seems to has informal relationship with barangay secretary and local police, as they refused to accept my report"
