Name,City,Barangay,Province,Amenities,PriceRange,NumberofRooms,OtherData,CustomerReview,Specialty,SeatingCapacity,Classification,VisitorsPeryear,Entrance Fee
Eng Bee Tin,Manila,Binondo,NCR,,,,"Lunch, Dinner",This is your go to place for that good ube (Purple yam) or munggo (Mung Beans) hopia (local pastry with fillings). The staff are always very helpful also explaining to you the expiry and the way to keep your bought goodies. They also serve some hot snacks at the front of the shop to satisfy your quick tummy fixes. The only problem is parking if you are going there with your car. It is a challenge if you are alone.,Chinese,25.0,,,
My Kitchen at the Oasis,Manila,Paco,NCR,,"₱479 - ₱2,396",,"Lunch, Dinner","I love their MOSCATO wine brand from Australia. I am not a Risotto fan but when I tried theirs, its been a constant favorite. My husbands favorite is their lambchops and my daughters their Risotto and brick oven pizza. Their complimentary bread and dips are also delicious.","Italian, Pizza, European",400.0,,,
Sky Deck at The Bayleaf Hotel,Manila,Intramuros,NCR,,,,"Dinner, Drinks, Lunch","i enjoyed our breakfast here, so cozy and food were all delicious. they have a 360degree view of intramuros","Filipino, Bar, Asian, International",70.0,,,
Market Cafe,Manila,brgy 734,NCR,,190 to 1490,,"Vegan Options, Vegetarian Friendly, Gluten Free Options","I never get tired of dining at Market Cafe whether it is breakfast or dinner. I love the food choices and I must say that their prime rib (dinner buffet) is one of the best!!! Nice, warm and friendly staff as well :) Their desserts also deserve a thumbs up!!!","International, Asian, Healthy",270.0,,,
Tim Ho Wan,Mandaluyong,Megamall,NCR,,,,"Lunch, Dinner, Brunch",If you like to eat various types of asian cuisine and if your like eating your veggies then I recommend this restaurant. After we ate we were not full but satisfied with their food.,"Chinese, Asian",105.0,,,
Barbara's Heritage Restaurant,Manila,Intramuros,NCR,,195 to 475,,"Reservations, Private Dining, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Live Music","We found this hidden gem while wandering in the charming old streets. We had a delicious brunch, fresh coconut. it is perfect to relax.","Filipino, Asian, International",300.0,,,
The Aristocrat Restaurant,Manila,Roxas,NCR,,₱240 - ₱479,,Vegan Options,"The last time I ate there was in Manila. I was with a friend. The restaurant had a nice ambiance- not modern but a bit classy. Loved the food as always. I know they say it didn't have the same taste as the 70's but still, as a millennial eating there with a friend- it was overall a good experience. we sat there for 3 hours and I enjoyed it very much. Not too crowded. The servers were attentive.",Filipino,200.0,,,
Bistro Remedios,Manila,Malate,NCR,,,,Vegetarian options,"Very good Great value for money the food looked amazing as it arrived was nice and hot and well prepared and presented, service was very good, nice and clean, good family atmosphere.","Filipino, Asian",,,,
Uno Wharf Seafood Palace,Manila,Calvo,NCR,,190 to 490,,Vegetarian options,"You have to accept that the foods from each region has different taste, it isnt like Philippine foods arent tasty but I prefer foods from my hometown. Uno restaurant make it brilliant the foods are tasty, not too salty and sour or sweet. Minus 1...More","Chinese, Asian, Seafood",210.0,,,
Ristorante Delle Mitre,Manila,Intramuros,NCR,,275 to 298,,Vegetarian options,"The servers should be taught how to be nice or courteous specially if the diner would just want to relax and have dinner with family. Also, they are cleaning up the table and removing the plates and utensils, it directly in a dishing tub and in so much hurry that it is bothersome and very noisy.","Filipino, Asian",300.0,,,
Dads-Saisaki-Kamayan,Manila,Ermita,NCR,,295 to 988,,Vegetarian options,"Food served are all freshly cooked, well presented and palatable. Staff are accommodating and friendly. Portion of food provided at the carving station are enough to consume. Seafoods are fresh as well","Filipino, Sushi, Asian",,,,
Casa Armas,Manila,Nakpil,NCR,,"₱479 - ₱2,875",,"Dinner, Lunch, Late Night","Cosy restaurant, very well located, fine wines, and all tapas well, nothing too special but certainly nothing bad. The best part is the lovely music.","European, Spanish, Mediterranean",90.0,,,
Casa Roces,Pasig,San Miguel,NCR,,,,"Takeout, Reservations, Seating, Serves Alcohol, Table Service, Private Dining, Highchairs Available","I like their desserts, specially the turon. It was delicious and cute. Their menu is such a mess. They put their main dish into entree category... The worst part is, they over priced the total amount of our orders, then add the Vat. We didn't realised this until the next day. Too-sad-so-bad.","Spanish, Filipino, Asian",100.0,,,
Tao Yuan Restaurant,Manila,Malate,NCR,,,,"Takeout, Reservations, Seating, Serves Alcohol, Table Service","We enjoyed the food in this restaurant. Fresh seafood dishes. Love the taste of the dishes. Best was the dessert, buchi. Sticky rice balls with sweet n salty cream inside the buchi balls. Freshly baked.","Chinese, Seafood, Asian",200.0,,,
Korean Palace Restaurant,Manila,Malate,NCR,,₱240 - ₱479,,"Dinner, Lunch, Late Night",Another top Korean restaurant with non meat options. Was only a short walk from my hotel. Friendly and helpful staff. Reasonably priced too. I visited it twice actually.,"Korean, Barbecue, Asian",60.0,,,
Intramuros and Fort Santiago,Manila,Intramuros,NCR,,,,Take a stroll through history lane within the walled city of Intramuros in Manila. This 64-hectare Spanish fortress was erected by Miguel Lopez de Legazpi and was destroyed by the end of World War II.,You can see the Spanish glory in the beautiful fort. It is so amazing to cross the ocean and feel like you are in Europe.,,,Museum,2000000.0,75
Rizal Park,Manila,Ermita,NCR,,,,Many travelers skip Manila and make their way to the Philippines' other islands but a day or two in the country’s capital to go on Manila tours is still highly recommended.,In my own opinion when you say Philippines it's automatic that the next word or person that you may link to it after the word Manila is Rizal. We can say that Philippines is Rizal and Rizal is Philippines.,,,Park,1800000.0,50
