Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
23,1st year,7,Old,Romblon,Male,12/19/2001,Single,5,3rd,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,"I feel that way because of the internet problem and it is not easy to study in your house because of boredom or maybe laziness. However, it is for the sake of all students and for our safety from the Global Pandemic. ","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,3,No,3,Yes,2,No,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
24,3rd year,1,Old,Romblon,Male,1/26/1997,Single,2,1st,Tablas Island,No,No,No,Yes,3,Did not feel anything,I don't know,Entirely no Face-to-Face,3,3,Yes,4,A SOFTCOPY of your module,3,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
25,2nd Year,1,Old,Romblon,Female,1/4/2001,Single,6,6th,Tablas Island,No,No,No,Yes,2,Sad / Disappointed;Worried / Nervous,Sad because that not understand,Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity,3,3,Yes,4,A SOFTCOPY of your module,5,Yes,2,Yes,2,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
27,2nd Year,4,New,Romblon,Male,3/12/1999,Single,9,7th,Tablas Island,No,No,No,Yes,3,Sad / Disappointed;Did not feel anything,because there is little to learn without face to face,Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,No,3,A SOFTCOPY of your module,3,Yes,4,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
28,1st year,7,New,Romblon,Female,1/18/2002,Single,1,1st,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed;Worried / Nervous,it so difficult,Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,3,A SOFTCOPY of your module,3,No,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Delivery / Use of Videos, PowerPoint, and other Learning Tools","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
29,1st year,2,New,Romblon,Male,1/22/2002,Single,3,3rd,Tablas Island,Yes,Yes,,Yes,2,Sad / Disappointed,"I take IT course and I think it is hard to learn and study about it trough online,I feel sad also to those who doesn't have any laptops or other devices that can be use for online classes. ","Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited;We need a Load everyday since we need to check everyday our Glass.   ",1,2,Yes,3,A HARCOPY of your module,5,No,3,No,5,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
30,4th year,1,Old,Romblon,Female,7/17/1999,Single,7,3rd,Tablas Island,Yes,No,No,Yes,2,Sad / Disappointed;Worried / Nervous,"Because it is hard for a graduating student to take a online class especially when you do not have a stable internet connection. I'm not sure if I can comply all the requirements, because of the internet connection","Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,3,A HARCOPY of your module,5,Yes,4,No,4,No,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
31,2nd Year,4,New,Romblon,Male,3/2/1999,Single,6,1st,Tablas Island,No,No,Yes,No,1,Timeless ,because of the internet ,Module is the primary tool in learning,4,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
32,1st year,1,Old,Romblon,Female,8/28/2000,Single,8,7th,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,Because of the virus,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A HARCOPY of your module,2,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Module Content and Presentation,Faculty & Student Online Discussion of Lesson
33,1st year,2,New,Romblon,Female,3/22/2002,Single,7,7th,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed;Worried / Nervous,I felt like I don't think I can study not knowing or learning it from the teachers.,A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited,3,3,Yes,4,A HARCOPY of your module,3,No,4,No,5,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
34,1st year,1,New,Romblon,Male,5/10/2000,Single,5,5th,Tablas Island,No,No,No,Yes,2,Did not feel anything,Can't understand some topics in online or modular,Entirely no Face-to-Face,3,3,Yes,3,A SOFTCOPY of your module,2,Yes,3,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,Module Content and Presentation
35,1st year,2,New,Romblon,Male,1/14/2002,Single,3,3rd,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Because I have to learn our subjects by myself but still with guide of our subject teachers,Entirely no Face-to-Face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,4,A HARCOPY of your module,5,Yes,5,Yes,2,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
36,1st year,1,New,Romblon,Female,2/16/2002,Single,5,5th,Tablas Island,No,No,Yes,Yes,2,Worried / Nervous,because there wouldn't face to face interaction,A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited,3,3,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,3,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
37,1st year,1,New,Romblon,Male,8/31/2001,Single,6,5th,Tablas Island,No,No,Yes,Yes,2,Sad / Disappointed,"Because,hindi siya ma explain ng maayos ","Exercises, quizzes, and major examinations will be done online or face-to-face",3,4,Yes,3,A SOFTCOPY of your module,3,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
38,2nd Year,4,Old,Romblon,Female,5/18/2021,Single,3, ,Tablas Island,No,Yes,Yes,Yes,3,Worried / Nervous,Because of virus ,Internet connection is a necessity,3,4,Yes,3,A HARCOPY of your module,2,Yes,4,Yes,4,No,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
39,2nd Year,1,New,Romblon,Male,9/6/2001,Single,3,2nd,Tablas Island,No,No,,Yes,2,Sad / Disappointed,"Nakaka disappoint po syempre, face to face would be a big help when it comes to learning.","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A HARCOPY of your module,4,Yes,5,Yes,1,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
40,1st year,2,New,Romblon,Male,6/25/2001,Single,4,3rd,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,I wasn't able to focus that much,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,3,A HARCOPY of your module,4,Yes,4,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
41,2nd Year,1,New,Romblon,Male,6/18/2000,Single,3,2nd,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed,"Because I can't understand some of the lesson that they give in my way, so that face to face is much better ",Entirely no Face-to-Face,3,3,Yes,3,A SOFTCOPY of your module,4,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
42,1st year,1,New,Romblon,Female,7/27/2001,Single,2,2nd,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,I feel worried and nervouse because I'm scared if im not submitting all the requirements give to us on time.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,5,Yes,3,Yes,1,No,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
43,1st year,1,New,Romblon,Female,8/18/2001,Single,9,9th,Tablas Island,No,No,No,Yes,3,Worried / Nervous,"I'm nervous because without face-to-face, it's a bit difficult to understand the lesson. It's really nice when face to face because I really understood the lesson well.","Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,No,3,A SOFTCOPY of your module,4,Yes,4,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,Module Content and Presentation
